productId,name,price,stock,minStock,category
P001,무선마우스,15000,20,5,전자제품
P002,기계식키보드,45000,12,3,전자제품
P003,USB허브,18000,8,5,전자제품
P004,HDMI케이블,7000,30,10,전자제품
P005,노트북거치대,25000,6,4,전자제품
P006,블루투스스피커,39000,5,3,전자제품
P007,보조배터리,28000,14,5,전자제품
P008,웹캠,52000,4,2,전자제품
P009,모니터암,65000,3,2,전자제품
P010,멀티탭,12000,25,8,전자제품
P011,생수500ml,800,100,30,식품
P012,컵라면,1200,80,20,식품
P013,즉석밥,1500,60,20,식품
P014,참치캔,2500,45,15,식품
P015,초코바,1000,70,25,식품
P016,커피믹스,12000,18,6,식품
P017,과자세트,5500,35,10,식품
P018,탄산음료,1800,55,20,식품
P019,김자반,3000,28,10,식품
P020,컵스프,1600,12,15,식품
P021,사무용의자,89000,7,2,가구
P022,접이식테이블,59000,5,2,가구
P023,책장,75000,3,1,가구
P024,서랍장,69000,4,2,가구
P025,회의용테이블,150000,2,1,가구
P026,스탠드조명,32000,9,3,가구
P027,행거,27000,6,2,가구
P028,신발장,48000,2,2,가구
P029,파티션,42000,10,4,가구
P030,원형의자,22000,1,5,가구
P031,A4용지,5500,40,10,사무용품
P032,볼펜세트,3000,65,20,사무용품
P033,포스트잇,2500,50,15,사무용품
P034,파일철,1800,70,20,사무용품
P035,스테이플러,6000,15,5,사무용품
P036,클립세트,2000,33,10,사무용품
P037,수정테이프,1800,9,10,사무용품
P038,네임펜,1200,25,8,사무용품
P039,가위,3500,16,5,사무용품
P040,테이프,1500,7,12,사무용품
P041,손소독제,4500,22,8,생활용품
P042,물티슈,2500,52,15,생활용품
P043,휴지,12000,11,5,생활용품
P044,종량제봉투,900,60,20,생활용품
P045,청소포,3500,20,6,생활용품
P046,세탁세제,15000,4,3,생활용품
P047,방향제,7000,13,5,생활용품
P048,고무장갑,2500,6,10,생활용품
P049,마스크,8000,30,12,생활용품
P050,쓰레기통,17500,10,4,청소용품
